ch99_code,rate,rate_type,phase,terminated,country_name,census_code
9903.01.43,0.1,surcharge,phase1_apr9,TRUE,Cameroon,7420
9903.01.43,0.1,surcharge,phase1_apr9,TRUE,Democratic Republic of the Congo,7660
9903.01.44,0.1,surcharge,phase1_apr9,TRUE,Chad,7560
9903.01.44,0.1,surcharge,phase1_apr9,TRUE,Equatorial Guinea,7380
9903.01.45,0.1,surcharge,phase1_apr9,TRUE,Nigeria,7530
9903.01.46,0.1,surcharge,phase1_apr9,TRUE,Norway,4039
9903.01.46,0.1,surcharge,phase1_apr9,TRUE,Venezuela,3070
9903.01.47,0.1,surcharge,phase1_apr9,TRUE,Mozambique,7870
9903.01.48,0.1,surcharge,phase1_apr9,TRUE,Israel,5081
9903.01.48,0.1,surcharge,phase1_apr9,TRUE,Malawi,7970
9903.01.48,0.1,surcharge,phase1_apr9,TRUE,Philippines,5650
9903.01.48,0.1,surcharge,phase1_apr9,TRUE,Zambia,7940
9903.01.49,0.1,surcharge,phase1_apr9,TRUE,Nicaragua,2190
9903.01.49,0.1,surcharge,phase1_apr9,TRUE,Zimbabwe,7960
9903.01.50,0.1,surcharge,phase1_apr9,TRUE,Jordan,5110
9903.01.51,0.1,surcharge,phase1_apr9,TRUE,Côte d'Ivoire,7230
9903.01.51,0.1,surcharge,phase1_apr9,TRUE,Namibia,7920
9903.01.52,0.1,surcharge,phase1_apr9,TRUE,Vanuatu,6224
9903.01.53,0.1,surcharge,phase1_apr9,TRUE,Brunei,5610
9903.01.53,0.1,surcharge,phase1_apr9,TRUE,Japan,5880
9903.01.53,0.1,surcharge,phase1_apr9,TRUE,Malaysia,5570
9903.01.54,0.1,surcharge,phase1_apr9,TRUE,South Korea,5800
9903.01.55,0.1,surcharge,phase1_apr9,TRUE,India,5330
9903.01.56,0.1,surcharge,phase1_apr9,TRUE,Kazakhstan,4634
9903.01.57,0.1,surcharge,phase1_apr9,TRUE,Tunisia,7230
9903.01.58,0.1,surcharge,phase1_apr9,TRUE,Pakistan,5350
9903.01.59,0.1,surcharge,phase1_apr9,TRUE,Algeria,7210
9903.01.59,0.1,surcharge,phase1_apr9,TRUE,Nauru,6862
9903.01.59,0.1,surcharge,phase1_apr9,TRUE,South Africa,7910
9903.01.60,0.1,surcharge,phase1_apr9,TRUE,Libya,7250
9903.01.60,0.1,surcharge,phase1_apr9,TRUE,Moldova,4641
9903.01.60,0.1,surcharge,phase1_apr9,TRUE,Switzerland,4419
9903.01.61,0.1,surcharge,phase1_apr9,TRUE,Angola,7620
9903.01.61,0.1,surcharge,phase1_apr9,TRUE,Fiji,6863
9903.01.61,0.1,surcharge,phase1_apr9,TRUE,Indonesia,5600
9903.01.61,0.1,surcharge,phase1_apr9,TRUE,Taiwan,5830
9903.01.62,0.1,surcharge,phase1_apr9,TRUE,North Macedonia,4794
9903.01.63,0.1,surcharge,phase1_apr9,TRUE,China,5700
9903.01.63,0.1,surcharge,phase1_apr9,TRUE,Hong Kong,5820
9903.01.63,0.1,surcharge,phase1_apr9,TRUE,Macau,5850
