hts10,usmca_eligible
0101210010,FALSE
0101210020,FALSE
0101290010,FALSE
0101290090,FALSE
0101300000,TRUE
0101903000,FALSE
0101904000,TRUE
0102210010,FALSE
0102210020,FALSE
0102210030,FALSE
0102210050,FALSE
0102292011,FALSE
0102292012,FALSE
0102294024,FALSE
0102294028,FALSE
0102294034,FALSE
0102294038,FALSE
0102294054,FALSE
0102294058,FALSE
0102294062,FALSE
0102294064,FALSE
0102294066,FALSE
0102294068,FALSE
0102294072,FALSE
0102294074,FALSE
0102294082,FALSE
0102294084,FALSE
0102310010,FALSE
0102310020,FALSE
0102390010,FALSE
0102390024,FALSE
0102390028,FALSE
0102390034,FALSE
0102390038,FALSE
0102390054,FALSE
0102390058,FALSE
0102390061,FALSE
0102390072,FALSE
0102390074,FALSE
0102390082,FALSE
0102390084,FALSE
0102900000,TRUE
0103100000,FALSE
0103910010,FALSE
0103910020,FALSE
0103910030,FALSE
0103920010,FALSE
0103920020,FALSE
0103920091,FALSE
0104100000,FALSE
0104200000,TRUE
0105110010,FALSE
0105110020,FALSE
0105110040,FALSE
0105120000,TRUE
0105130000,TRUE
0105140000,TRUE
0105150000,TRUE
0105940000,TRUE
0105990000,TRUE
0106110000,FALSE
0106120100,FALSE
0106130000,FALSE
0106140000,FALSE
0106193000,TRUE
0106199120,FALSE
0106199195,FALSE
0106200000,FALSE
0106310000,TRUE
0106320000,TRUE
0106330000,TRUE
0106390100,TRUE
0106410000,FALSE
0106490010,FALSE
0106490090,FALSE
0106900110,FALSE
0106900120,FALSE
0106900180,FALSE
0201100510,FALSE
0201100590,FALSE
0201101010,FALSE
0201101090,FALSE
0201105010,FALSE
0201105090,FALSE
0201200200,TRUE
0201200400,TRUE
0201200600,TRUE
0201201000,TRUE
0201203000,TRUE
0201205015,FALSE
0201205025,FALSE
0201205035,FALSE
0201205045,FALSE
0201205065,FALSE
0201205075,FALSE
0201205091,FALSE
0201208010,FALSE
0201208090,FALSE
0201300200,TRUE
0201300400,TRUE
0201300600,TRUE
0201301000,TRUE
0201303000,TRUE
0201305015,FALSE
0201305025,FALSE
0201305035,FALSE
0201305045,FALSE
0201305055,FALSE
0201305065,FALSE
0201305075,FALSE
0201305085,FALSE
0201308010,FALSE
0201308090,FALSE
0202100510,FALSE
0202100590,FALSE
0202101010,FALSE
0202101090,FALSE
0202105010,FALSE
0202105090,FALSE
0202200200,TRUE
0202200400,TRUE
0202200600,TRUE
0202201000,TRUE
0202203000,TRUE
0202205025,FALSE
0202205035,FALSE
0202205045,FALSE
0202205090,FALSE
0202208000,TRUE
0202300200,TRUE
0202300400,TRUE
0202300600,TRUE
0202301000,TRUE
0202303000,TRUE
0202305015,FALSE
0202305025,FALSE
0202305035,FALSE
0202305045,FALSE
0202305055,FALSE
0202305065,FALSE
0202305075,FALSE
0202305085,FALSE
0202308000,TRUE
0203110000,FALSE
0203121010,FALSE
0203121020,FALSE
0203129010,FALSE
0203129020,FALSE
0203192010,FALSE
0203192090,FALSE
0203194010,FALSE
0203194090,FALSE
0203210000,FALSE
0203221000,TRUE
0203229000,FALSE
0203292000,TRUE
0203294000,FALSE
0204100000,TRUE
0204210000,TRUE
0204222010,FALSE
0204222020,FALSE
0204222030,FALSE
0204222090,FALSE
0204224000,TRUE
0204232000,TRUE
0204234000,TRUE
0204300000,TRUE
0204410000,TRUE
0204422010,FALSE
0204422020,FALSE
0204422030,FALSE
0204422090,FALSE
0204424000,TRUE
0204432000,TRUE
0204434000,TRUE
0204500000,FALSE
0205000000,FALSE
0206100000,FALSE
0206210000,FALSE
0206220000,FALSE
0206290000,FALSE
0206300000,FALSE
0206410000,FALSE
0206490000,FALSE
0206800000,FALSE
0206900020,FALSE
0206900040,FALSE
0207110020,FALSE
0207110040,FALSE
0207120020,FALSE
0207120040,FALSE
0207130000,TRUE
0207140020,FALSE
0207140040,FALSE
0207240000,TRUE
