hts8,category,country_group,ch99_code
07119030,ptaap,eu,9903.02.74
08105000,ptaap,eu,9903.02.74
09042220,ptaap,eu,9903.02.74
09102000,ptaap,eu,9903.02.74
25041010,ptaap,eu,9903.02.74
25041050,ptaap,eu,9903.02.74
25049000,ptaap,eu,9903.02.74
25111010,ptaap,eu,9903.02.74
25111050,ptaap,eu,9903.02.74
25191000,ptaap,eu,9903.02.74
25199010,ptaap,eu,9903.02.74
25199020,ptaap,eu,9903.02.74
25249000,ptaap,eu,9903.02.74
25292100,ptaap,eu,9903.02.74
25292200,ptaap,eu,9903.02.74
25302010,ptaap,eu,9903.02.74
25302020,ptaap,eu,9903.02.74
25309010,ptaap,eu,9903.02.74
25309020,ptaap,eu,9903.02.74
25309080,ptaap,eu,9903.02.74
26020000,ptaap,eu,9903.02.74
26040000,ptaap,eu,9903.02.74
26050000,ptaap,eu,9903.02.74
26060000,ptaap,eu,9903.02.74
26080000,ptaap,eu,9903.02.74
26090000,ptaap,eu,9903.02.74
26100000,ptaap,eu,9903.02.74
26110030,ptaap,eu,9903.02.74
26110060,ptaap,eu,9903.02.74
26122000,ptaap,eu,9903.02.74
26139000,ptaap,eu,9903.02.74
26140030,ptaap,eu,9903.02.74
26140060,ptaap,eu,9903.02.74
26159030,ptaap,eu,9903.02.74
26159060,ptaap,eu,9903.02.74
26161000,ptaap,eu,9903.02.74
26171000,ptaap,eu,9903.02.74
26209950,ptaap,eu,9903.02.74
28012000,ptaap,eu,9903.02.74
28041000,pharma,eu,9903.02.77
28042900,pharma,eu,9903.02.77
28043000,pharma,eu,9903.02.77
28045000,pharma,eu,9903.02.77
28048000,ptaap,eu,9903.02.74
28049000,ptaap,eu,9903.02.74
28051910,ptaap,eu,9903.02.74
28051920,pharma,eu,9903.02.77
28051990,ptaap,eu,9903.02.74
28053000,ptaap,eu,9903.02.74
28061000,pharma,eu,9903.02.77
28070000,pharma,eu,9903.02.77
28092000,pharma,eu,9903.02.77
28111100,ptaap,eu,9903.02.74
28111200,pharma,eu,9903.02.77
28111910,ptaap,eu,9903.02.74
28112250,pharma,eu,9903.02.77
28112910,ptaap,eu,9903.02.74
28112920,ptaap,eu,9903.02.74
28121200,pharma,eu,9903.02.77
28121900,pharma,eu,9903.02.77
28139010,ptaap,eu,9903.02.74
28141000,pharma,eu,9903.02.77
28142000,pharma,eu,9903.02.77
28151100,pharma,eu,9903.02.77
28151200,pharma,eu,9903.02.77
28152000,pharma,eu,9903.02.77
28153000,pharma,eu,9903.02.77
28161000,ptaap,eu,9903.02.74
28164010,ptaap,eu,9903.02.74
28164020,ptaap,eu,9903.02.74
28170000,ptaap,eu,9903.02.74
28181010,ptaap,eu,9903.02.74
28181020,ptaap,eu,9903.02.74
28182000,ptaap,eu,9903.02.74
28201000,ptaap,eu,9903.02.74
28211000,ptaap,eu,9903.02.74
28212000,ptaap,eu,9903.02.74
28220000,ptaap,eu,9903.02.74
28230000,ptaap,eu,9903.02.74
28251000,pharma,eu,9903.02.77
28252000,pharma,eu,9903.02.77
28254000,ptaap,eu,9903.02.74
28256000,ptaap,eu,9903.02.74
28258000,ptaap,eu,9903.02.74
28259015,ptaap,eu,9903.02.74
28259030,ptaap,eu,9903.02.74
28259090,ptaap,eu,9903.02.74
28261200,ptaap,eu,9903.02.74
28263000,ptaap,eu,9903.02.74
28269090,ptaap,eu,9903.02.74
28273100,ptaap,eu,9903.02.74
28273945,ptaap,eu,9903.02.74
28273960,ptaap,eu,9903.02.74
28273965,pharma,eu,9903.02.77
28273990,pharma,eu,9903.02.77
28275951,ptaap,eu,9903.02.74
28276020,pharma,eu,9903.02.77
28276051,pharma,eu,9903.02.77
28321000,pharma,eu,9903.02.77
28323010,pharma,eu,9903.02.77
28331150,pharma,eu,9903.02.77
28331900,pharma,eu,9903.02.77
28332100,pharma,eu,9903.02.77
28332200,pharma,eu,9903.02.77
28332400,ptaap,eu,9903.02.74
28332700,ptaap,eu,9903.02.74
28332910,ptaap,eu,9903.02.74
28332945,ptaap,eu,9903.02.74
28332951,ptaap,eu,9903.02.74
28341010,pharma,eu,9903.02.77
28342100,ptaap,eu,9903.02.74
28342920,ptaap,eu,9903.02.74
28342951,ptaap,eu,9903.02.74
28352200,pharma,eu,9903.02.77
28352400,pharma,eu,9903.02.77
28362000,pharma,eu,9903.02.77
28363000,pharma,eu,9903.02.77
28364020,pharma,eu,9903.02.77
28366000,ptaap,eu,9903.02.74
28369100,ptaap,eu,9903.02.74
28369200,ptaap,eu,9903.02.74
28369910,ptaap,eu,9903.02.74
28369950,ptaap,eu,9903.02.74
28372051,pharma,eu,9903.02.77
28418000,ptaap,eu,9903.02.74
28419020,ptaap,eu,9903.02.74
28419040,pharma,eu,9903.02.77
28421000,pharma,eu,9903.02.77
28429090,pharma,eu,9903.02.77
28432901,pharma,eu,9903.02.77
28433000,pharma,eu,9903.02.77
