revision,effective_date,change,ch99_code,authority,rate_pct,description
rev_1,2025-01-27,added,9903.01.20,other,10,"Except for products described in headings 9903.01.21, 9903.01.22, or 9903.01.23 articles the product of China and Hong Kong, as provided for in U.S. note 2(s) to this subchapter"
rev_1,2025-01-27,added,9903.01.21,other,NA,"Articles the product of China and Hong Kong that are donations, by persons subject to the jurisdiction of the United States, of articles, such as food, clothing, and medicine, intended to be used to relieve human suffering, as provided for in U.S. note 2(t) to this subchapter"
rev_1,2025-01-27,added,9903.01.22,other,NA,"Articles the product of China and Hong Kong that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact disks, CD ROMs, artworks, and news wire feeds"
rev_1,2025-01-27,added,9903.01.23,other,NA,"Except for products described in headings 9903.01.21 and 9903.01.22, and other than products for personal use included in accompanied baggage of persons arriving in the United States, articles the product of China and Hong Kong that: (1) were loaded onto a vessel at the port of loading, or in transit on the final mode of transport prior to entry into the United States, before 12:01 a.m. eastern standard time on February 1, 2025; and (2) are entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern standard time on February 4, 2025, and before 12:01 a.m. eastern standard time on March 7, 2025."
rev_3,2025-02-04,added,9903.01.01,other,25,"Except for products described in heading 9903.01.02 and heading 9903.01.03, articles the product of Mexico, as provided for in U.S. note 2(a) to this subchapter"
rev_3,2025-02-04,added,9903.01.02,other,NA,"Articles the product of Mexico that are donations, by persons subject to the jurisdiction of the United States, of articles, such as food, clothing, and medicine, intended to be used to relieve human suffering, as provided for in U.S. note 2(b) to this subchapter"
rev_3,2025-02-04,added,9903.01.03,other,NA,"Articles the product of Mexico that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact disks, CD ROMs, artworks, and news wire feeds"
rev_3,2025-02-04,added,9903.01.10,other,25,"Except for products described in headings 9903.01.11, 9903.01.12 or, 9903.01.13, articles the product of Canada, as provided for in U.S. note 2(j) to this subchapter"
rev_3,2025-02-04,added,9903.01.11,other,NA,"Articles the product of Canada that are donations, by persons subject to the jurisdiction of the United States, of articles, such as food, clothing, and medicine, intended to be used to relieve human suffering, as provided for in U.S. note 2(k) to this subchapter"
rev_3,2025-02-04,added,9903.01.12,other,NA,"Articles the product of Canada that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact disks, CD ROMs, artworks, and news wire feeds"
rev_3,2025-02-04,added,9903.01.13,other,10,"Crude oil, natural gas, lease condensates, natural gas liquids, refined petroleum products, uranium, coal, biofuels, geothermal heat, the kinetic movement of flowing water, and critical minerals, as defined by 30 U.S.C. 1606(a)(3)"
rev_3,2025-02-04,added,9903.01.24,other,20,"Except for products described in headings 9903.01.21, 9903.01.22, or 9903.01.23 articles the product of China and Hong Kong, as provided for in U.S. note 2(u) to this subchapter"
rev_4,2025-03-04,added,9903.01.04,other,NA,"Articles that are entered free of duty under the terms of general note 11 to the HTSUS, including any treatment set forth in subchapter XXIII of chapter 98 and subchapter XXII of chapter 99 of the HTS, as related to the USMCA"
rev_4,2025-03-04,added,9903.01.05,other,10,"Potash that is a product of Mexico, as provided for in U.S. note 2(c) to this subchapter"
rev_4,2025-03-04,added,9903.01.14,other,NA,"Articles that are entered free of duty under the terms of general note 11 to the HTSUS, including any treatment set forth in subchapter XXIII of chapter 98 and subchapter XXII of chapter 99 of the HTS, as related to the USMCA."
rev_4,2025-03-04,added,9903.01.15,other,10,"Potash that is a product of Canada, as provided for in U.S. note 2(I) to this subchapter"
rev_4,2025-03-04,added,9903.81.87,section_232,25,"Except for derivative iron or steel products described in headings 9903.81.89, 9903.81.90 or 9903.81.91, products of iron or steel provided for in the tariff headings or subheadings enumerated in subdivision (j) of note 16 to this subchapter."
rev_4,2025-03-04,added,9903.81.88,section_232,25,"Products of iron or steel provided for in the tariff headings or subheadings enumerated in subdivision (j) of note 16 to this subchapter, admitted to a U.S. foreign trade zone under ‘‘privileged foreign status’’ as defined by 19 CFR 146.41, prior to 12:01 a.m. eastern daylight time on March 12, 2025."
rev_4,2025-03-04,added,9903.81.89,section_232,25,Derivative iron or steel products provided for in the tariff provisions enumerated in subdivision (l) of note 16 to this subchapter.
rev_4,2025-03-04,added,9903.81.90,section_232,25,"Except as provided in heading 9903.81.92, derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision (m) of note 16 to this subchapter."
rev_4,2025-03-04,added,9903.81.91,section_232,NA,"Except as provided in heading 9903.81.92, derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision (n) of note 16 to this subchapter."
rev_4,2025-03-04,added,9903.81.92,section_232,NA,"Derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision (m) or subdivision (n) of note 16 to this subchapter, where the derivative iron or steel product was processed in another country from steel articles that were melted and poured in the United States."
rev_4,2025-03-04,added,9903.81.93,section_232,25,"Except as provided in headings 9903.81.91 or 9903.81.92, derivative products of iron or steel, as specified in subdivisions (l) and (m) of note 16 to this subchapter, admitted to a U.S. foreign trade zone under ‘‘privileged foreign status’’ as defined by 19 CFR 146.41, prior to 12:01 a.m. eastern daylight time on March 12, 2025."
rev_4,2025-03-04,added,9903.85.02,section_232,25,"Except as provided in headings 9903.85.67 or 9903.85.69, products of aluminum provided for in the tariff headings or subheadings enumerated in subdivision (g) of note 19 to this subchapter."
rev_4,2025-03-04,added,9903.85.04,section_232,25,"Except as provided in headings 9903.85.68 or 9903.85.70, derivative aluminum products provided for in the tariff headings or subheadings enumerated in subdivision (i) of note 19 to this subchapter."
rev_4,2025-03-04,added,9903.85.07,section_232,25,"Except as provided in headings 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products, provided for in the tariff provisions enumerated in subdivision (j) of note 19 to this subchapter."
rev_4,2025-03-04,added,9903.85.08,section_232,NA,"Except as provided in heading 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products, provided for in the tariff provisions enumerated in subdivision (k) of note 19 to this subchapter."
rev_4,2025-03-04,added,9903.85.09,section_232,NA,"Except as provided in heading 9903.85.68 or 9903.85.70, derivative aluminum products provided for in the tariff headings and subheadings enumerated in subdivision (j) or subdivision (k) of note 19 to this subchapter, where the derivative aluminum products were processed in another country from aluminum articles that were smelted and cast in the United States."
rev_4,2025-03-04,suspended,9903.88.16,section_301,NA,"Articles the product of China, as provided for in U.S. note 20(t) to this subchapter and as provided for in the subheadings enumerated in U.S. note 20(u) <b>[Compiler's note: provision suspended.]</b>"
rev_5,2025-03-05,suspended,9903.88.16,section_301,NA,"Articles the product of China, as provided for in U.S. note 20(t) to this subchapter and as provided for in the subheadings enumerated in U.S. note 20(u) [Compiler's note: provision suspended.]"
rev_6,2025-03-12,added,9903.94.01,section_232,25,"Except for 9903.94.02, 9903.94.03, and 9903.94.04, effective with respect to entries on or after April 3, 2025, passenger vehicles (sedans, sport utility vehicles, crossover utility vehicles, minivans, and cargo vans) and light trucks, as specified in note 33 to this subchapter, as provided for in subdivision (b) of U.S. note 33 to this subchapter."
rev_6,2025-03-12,added,9903.94.02,section_232,NA,"Effective with respect to entries on or after April 3, 2025, articles as provided for in subdivision (c) of U.S. note 33 to this subchapter."
rev_6,2025-03-12,added,9903.94.03,section_232,NA,"Effective with respect to entries on or after April 3, 2025, certain passenger vehicles and light trucks, as provided for in subdivision (d) of U.S. note 33 to this subchapter."
rev_6,2025-03-12,added,9903.94.04,section_232,NA,"Effective with respect to entries on or after April 3, 2025, certain passenger vehicles and light trucks, as provided for in subdivision (e) of U.S. note 33 to this subchapter."
rev_6,2025-03-12,suspended,9903.88.16,section_301,NA,"Articles the product of China, as provided for in U.S. note 20(t) to this subchapter and as provided for in the subheadings enumerated in U.S. note 20(u) <b>[Compiler's note: provision suspended.]</b>"
rev_7,2025-04-02,added,9903.01.25,other,10,"Except for products described in headings 9903.01.26-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of any country, except for articles the product of a country enumerated in subdivision (v)(xiii) of U.S. note 2 to this subchapter that are entered for consumption, or withdrawn from warehouse for consumption, after 12:01 a.m. eastern daylight time on April 9, 2025, and that were not in transit on the final mode of transit prior to 12:01 a.m. eastern daylight time on April 9, 2025, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.26,other,NA,"Articles the product of Canada, as provided for in subdivision (v)(iv) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.27,other,NA,"Articles the product of Mexico, as provided for in subdivision (v)(v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.28,other,NA,"Articles the product of any country that (1) were loaded onto a vessel at the port of loading and in transit on the final mode of transit prior to entry into the United States, before 12:01 a.m. eastern daylight time on April 5, 2025; and (2) are entered for consumption, or withdrawn from warehouse for consumption after 12:01 a.m. eastern daylight time on April 5, 2025"
rev_7,2025-04-02,added,9903.01.29,other,NA,Articles the product of any country identified in general note 3(b)
rev_7,2025-04-02,added,9903.01.30,other,NA,"Articles that are donations, by persons subject to the jurisdiction of the United States, such as food, clothing, and medicine, intended to be used to relieve human suffering, as provided for in subdivision (v)(ii) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.31,other,NA,"Articles that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact disks, CD ROMs, artworks, and news wire feeds"
rev_7,2025-04-02,added,9903.01.32,other,NA,"Articles the product of any country, classified in the subheadings enumerated in subdivision (v)(iii) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.33,other,NA,"Articles of iron or steel, derivative articles of iron or steel, articles of aluminum, derivative articles of aluminum, passenger vehicles (sedans, sport utility vehicles, crossover utility vehicles, minivans, and cargo vans) and light trucks and parts of passenger vehicles (sedans, sport utility vehicles, crossover utility vehicles, minivans, and cargo vans) and light trucks, of any country, as provided in subdivision (v)(vi) through (v)(xi) of note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.34,other,NA,"The U.S. content of articles the product of any country, in which the U.S. content of the article provides at least 20 percent of the Customs value of the imported article, as provided for in subdivision (v)(xii) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.43,other,11,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Cameroon or the Democratic Republic of the Congo, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.44,other,13,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Chad or Equatorial Guinea, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.45,other,14,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Nigeria, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.46,other,15,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Norway or Venezuela, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.47,other,16,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Mozambique, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.48,other,17,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Israel, Malawi, Philippines, or Zambia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.49,other,18,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Nicaragua or Zimbabwe, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.50,other,20,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of the European Union or Jordan as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.51,other,21,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Côte d`Ivoire or Namibia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.52,other,22,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Vanuatu, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.53,other,24,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Brunei, Japan, or Malaysia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.54,other,25,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of South Korea, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.55,other,26,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of India, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.56,other,27,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Kazakhstan, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.57,other,28,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Tunisia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
