revision,effective_date,n_ch99,added,removed,rate_changes,suspensions
basic,2025-01-01,447,NA,NA,NA,NA
rev_1,2025-01-27,451,4,0,0,0
rev_2,2025-02-01,451,0,0,0,0
rev_3,2025-02-04,459,8,0,0,0
rev_4,2025-03-04,475,16,0,0,1
rev_5,2025-03-05,475,0,0,0,1
rev_6,2025-03-12,479,4,0,0,1
rev_7,2025-04-02,523,44,0,0,1
rev_8,2025-04-03,523,0,0,1,0
rev_9,2025-04-05,523,0,0,1,33
rev_10,2025-04-09,523,0,0,0,34
rev_11,2025-04-11,525,2,0,0,34
rev_12,2025-04-14,525,0,0,1,1
rev_13,2025-04-22,525,0,0,0,0
rev_14,2025-05-02,535,10,0,8,35
rev_15,2025-05-14,535,0,0,0,35
rev_16,2025-06-06,538,3,0,0,0
rev_17,2025-07-01,541,3,0,1,0
rev_18,2025-08-07,619,78,0,0,0
rev_19,2025-08-12,619,0,0,0,0
rev_20,2025-08-20,625,6,0,0,0
rev_21,2025-08-28,625,0,0,0,0
rev_22,2025-09-03,625,0,0,0,0
rev_23,2025-09-12,632,7,0,0,0
rev_24,2025-09-19,640,8,0,0,0
rev_25,2025-09-26,647,7,0,0,0
rev_26,2025-10-06,663,16,0,0,0
rev_27,2025-10-15,668,5,0,1,0
rev_28,2025-10-22,668,0,0,0,0
rev_29,2025-10-31,669,1,0,0,0
rev_30,2025-11-05,670,1,0,0,0
rev_31,2025-11-12,670,0,0,0,0
rev_32,2025-11-15,680,10,0,0,0
2026_basic,2026-01-01,691,11,0,0,1
