column,present,n_na,n_rows,pct_na,status
hts10,TRUE,0,142344308,0,expected
country,TRUE,0,142344308,0,expected
base_rate,TRUE,0,142344308,0,expected
statutory_base_rate,TRUE,0,142344308,0,expected
rate_232,TRUE,0,142344308,0,expected
rate_301,TRUE,0,142344308,0,expected
rate_ieepa_recip,TRUE,0,142344308,0,expected
rate_ieepa_fent,TRUE,0,142344308,0,expected
rate_s122,TRUE,0,142344308,0,expected
rate_other,TRUE,0,142344308,0,expected
metal_share,TRUE,10567,142344308,0.01,expected
total_additional,TRUE,0,142344308,0,expected
total_rate,TRUE,0,142344308,0,expected
usmca_eligible,TRUE,0,142344308,0,expected
revision,TRUE,0,142344308,0,expected
effective_date,TRUE,0,142344308,0,expected
valid_from,TRUE,0,142344308,0,expected
valid_until,TRUE,0,142344308,0,expected
rate_section_201,TRUE,141651725,142344308,99.51,extra
