hts8,ch99_code,category
28152000,9903.01.05,potash_mx
31042000,9903.01.05,potash_mx
31043000,9903.01.05,potash_mx
31049001,9903.01.05,potash_mx
31051000,9903.01.05,potash_mx
31052000,9903.01.05,potash_mx
31056000,9903.01.05,potash_mx
28152000,9903.01.15,potash_ca
31042000,9903.01.15,potash_ca
31043000,9903.01.15,potash_ca
31049001,9903.01.15,potash_ca
31051000,9903.01.15,potash_ca
31052000,9903.01.15,potash_ca
31056000,9903.01.15,potash_ca
25041050,9903.01.13,energy_ca
25049000,9903.01.13,energy_ca
25111050,9903.01.13,energy_ca
25292100,9903.01.13,energy_ca
25292200,9903.01.13,energy_ca
25309010,9903.01.13,energy_ca
26020000,9903.01.13,energy_ca
26030000,9903.01.13,energy_ca
26040000,9903.01.13,energy_ca
26050000,9903.01.13,energy_ca
26060000,9903.01.13,energy_ca
26070000,9903.01.13,energy_ca
26080000,9903.01.13,energy_ca
26090000,9903.01.13,energy_ca
26100000,9903.01.13,energy_ca
26110030,9903.01.13,energy_ca
26110060,9903.01.13,energy_ca
26121000,9903.01.13,energy_ca
26122000,9903.01.13,energy_ca
26140030,9903.01.13,energy_ca
26140060,9903.01.13,energy_ca
26151000,9903.01.13,energy_ca
26159030,9903.01.13,energy_ca
26159060,9903.01.13,energy_ca
26161000,9903.01.13,energy_ca
26169000,9903.01.13,energy_ca
26171000,9903.01.13,energy_ca
26179000,9903.01.13,energy_ca
26201100,9903.01.13,energy_ca
26201930,9903.01.13,energy_ca
26201960,9903.01.13,energy_ca
26202100,9903.01.13,energy_ca
26203000,9903.01.13,energy_ca
26204000,9903.01.13,energy_ca
26209100,9903.01.13,energy_ca
26209910,9903.01.13,energy_ca
26209920,9903.01.13,energy_ca
26209930,9903.01.13,energy_ca
26209975,9903.01.13,energy_ca
27011100,9903.01.13,energy_ca
27011200,9903.01.13,energy_ca
27011900,9903.01.13,energy_ca
27071000,9903.01.13,energy_ca
27072000,9903.01.13,energy_ca
27073000,9903.01.13,energy_ca
27074000,9903.01.13,energy_ca
27075000,9903.01.13,energy_ca
27079100,9903.01.13,energy_ca
27079910,9903.01.13,energy_ca
27079920,9903.01.13,energy_ca
27079940,9903.01.13,energy_ca
27079951,9903.01.13,energy_ca
27079955,9903.01.13,energy_ca
27079959,9903.01.13,energy_ca
27079990,9903.01.13,energy_ca
27090010,9903.01.13,energy_ca
27090020,9903.01.13,energy_ca
27101215,9903.01.13,energy_ca
27101218,9903.01.13,energy_ca
27101225,9903.01.13,energy_ca
27101245,9903.01.13,energy_ca
27101290,9903.01.13,energy_ca
27101906,9903.01.13,energy_ca
27101911,9903.01.13,energy_ca
27101916,9903.01.13,energy_ca
27101924,9903.01.13,energy_ca
27101925,9903.01.13,energy_ca
27101926,9903.01.13,energy_ca
27101930,9903.01.13,energy_ca
27101935,9903.01.13,energy_ca
27101940,9903.01.13,energy_ca
27101945,9903.01.13,energy_ca
27101990,9903.01.13,energy_ca
27102005,9903.01.13,energy_ca
27102010,9903.01.13,energy_ca
27102015,9903.01.13,energy_ca
27102025,9903.01.13,energy_ca
27109100,9903.01.13,energy_ca
27109905,9903.01.13,energy_ca
27109910,9903.01.13,energy_ca
27109916,9903.01.13,energy_ca
27109921,9903.01.13,energy_ca
27109931,9903.01.13,energy_ca
27109932,9903.01.13,energy_ca
27109939,9903.01.13,energy_ca
27109945,9903.01.13,energy_ca
27109990,9903.01.13,energy_ca
27111100,9903.01.13,energy_ca
27111200,9903.01.13,energy_ca
27111300,9903.01.13,energy_ca
27111400,9903.01.13,energy_ca
27111900,9903.01.13,energy_ca
27112100,9903.01.13,energy_ca
27112900,9903.01.13,energy_ca
28045000,9903.01.13,energy_ca
28048000,9903.01.13,energy_ca
28051990,9903.01.13,energy_ca
28053000,9903.01.13,energy_ca
28111100,9903.01.13,energy_ca
28111910,9903.01.13,energy_ca
28112910,9903.01.13,energy_ca
28139010,9903.01.13,energy_ca
28170000,9903.01.13,energy_ca
28182000,9903.01.13,energy_ca
28183000,9903.01.13,energy_ca
28191000,9903.01.13,energy_ca
28199000,9903.01.13,energy_ca
28201000,9903.01.13,energy_ca
28209000,9903.01.13,energy_ca
