hts_prefix,ch99_code,derivative_type
76141050,9903.85.04,aluminum
76149020,9903.85.04,aluminum
76149040,9903.85.04,aluminum
76149050,9903.85.04,aluminum
87081030,9903.85.04,aluminum
87082921,9903.85.04,aluminum
76101000,9903.85.07,aluminum
76109000,9903.85.07,aluminum
7615102015,9903.85.07,aluminum
7615102025,9903.85.07,aluminum
7615103015,9903.85.07,aluminum
7615103025,9903.85.07,aluminum
7615105020,9903.85.07,aluminum
7615105040,9903.85.07,aluminum
7615107125,9903.85.07,aluminum
7615107130,9903.85.07,aluminum
7615107155,9903.85.07,aluminum
7615107180,9903.85.07,aluminum
7615109100,9903.85.07,aluminum
7615200000,9903.85.07,aluminum
7616109090,9903.85.07,aluminum
7616991000,9903.85.07,aluminum
7616995130,9903.85.07,aluminum
7616995140,9903.85.07,aluminum
7616995190,9903.85.07,aluminum
6603908100,9903.85.08,aluminum
8302103000,9903.85.08,aluminum
8302106030,9903.85.08,aluminum
8302106060,9903.85.08,aluminum
8302106090,9903.85.08,aluminum
8302200000,9903.85.08,aluminum
8302303010,9903.85.08,aluminum
8302303060,9903.85.08,aluminum
8302413000,9903.85.08,aluminum
8302416015,9903.85.08,aluminum
8302416045,9903.85.08,aluminum
8302416050,9903.85.08,aluminum
8302416080,9903.85.08,aluminum
8302423010,9903.85.08,aluminum
8302423015,9903.85.08,aluminum
8302423065,9903.85.08,aluminum
8302496035,9903.85.08,aluminum
8302496045,9903.85.08,aluminum
8302496055,9903.85.08,aluminum
8302496085,9903.85.08,aluminum
8302500000,9903.85.08,aluminum
8302603000,9903.85.08,aluminum
8302609000,9903.85.08,aluminum
8305100050,9903.85.08,aluminum
8306300000,9903.85.08,aluminum
8414596590,9903.85.08,aluminum
8415908025,9903.85.08,aluminum
8415908045,9903.85.08,aluminum
8415908085,9903.85.08,aluminum
8418998005,9903.85.08,aluminum
8418998050,9903.85.08,aluminum
8418998060,9903.85.08,aluminum
8419505000,9903.85.08,aluminum
8419901000,9903.85.08,aluminum
8422900640,9903.85.08,aluminum
8424909080,9903.85.08,aluminum
8473302000,9903.85.08,aluminum
8473305100,9903.85.08,aluminum
8479899599,9903.85.08,aluminum
8479908500,9903.85.08,aluminum
8479909596,9903.85.08,aluminum
8481909060,9903.85.08,aluminum
8481909085,9903.85.08,aluminum
8486900000,9903.85.08,aluminum
8487900080,9903.85.08,aluminum
8503009520,9903.85.08,aluminum
8508700000,9903.85.08,aluminum
8513902000,9903.85.08,aluminum
8515902000,9903.85.08,aluminum
8516905000,9903.85.08,aluminum
8516908050,9903.85.08,aluminum
8517710000,9903.85.08,aluminum
8517790000,9903.85.08,aluminum
8529907300,9903.85.08,aluminum
8529909760,9903.85.08,aluminum
8536908585,9903.85.08,aluminum
8538100000,9903.85.08,aluminum
8541900000,9903.85.08,aluminum
8543908885,9903.85.08,aluminum
8547900020,9903.85.08,aluminum
8547900030,9903.85.08,aluminum
8547900040,9903.85.08,aluminum
8708103050,9903.85.08,aluminum
87081060,9903.85.08,aluminum
8708295160,9903.85.08,aluminum
8708806590,9903.85.08,aluminum
8708996890,9903.85.08,aluminum
8716805010,9903.85.08,aluminum
8807300060,9903.85.08,aluminum
9013908000,9903.85.08,aluminum
9031909195,9903.85.08,aluminum
9401999081,9903.85.08,aluminum
94031000,9903.85.08,aluminum
94032000,9903.85.08,aluminum
9403991040,9903.85.08,aluminum
9403999010,9903.85.08,aluminum
9403999015,9903.85.08,aluminum
9403999020,9903.85.08,aluminum
9403999040,9903.85.08,aluminum
9403999045,9903.85.08,aluminum
9405994020,9903.85.08,aluminum
9506114080,9903.85.08,aluminum
9506514000,9903.85.08,aluminum
9506516000,9903.85.08,aluminum
9506594040,9903.85.08,aluminum
9506702090,9903.85.08,aluminum
9506910010,9903.85.08,aluminum
9506910020,9903.85.08,aluminum
9506910030,9903.85.08,aluminum
9506990510,9903.85.08,aluminum
9506990520,9903.85.08,aluminum
9506990530,9903.85.08,aluminum
9506991500,9903.85.08,aluminum
9506992000,9903.85.08,aluminum
9506992580,9903.85.08,aluminum
9506992800,9903.85.08,aluminum
9506995500,9903.85.08,aluminum
9506996080,9903.85.08,aluminum
9507302000,9903.85.08,aluminum
9507304000,9903.85.08,aluminum
9507306000,9903.85.08,aluminum
9507308000,9903.85.08,aluminum
9507906000,9903.85.08,aluminum
9603908050,9903.85.08,aluminum
