hts8,list,ch99_code
01012100,4A,9903.88.15
01012900,4A,9903.88.15
01013000,4A,9903.88.15
01019030,4A,9903.88.15
01019040,4A,9903.88.15
01022100,4A,9903.88.15
01022920,4A,9903.88.15
01022940,4A,9903.88.15
01023100,4A,9903.88.15
01023900,4A,9903.88.15
01029000,4A,9903.88.15
01031000,4A,9903.88.15
01039100,4A,9903.88.15
01039200,4A,9903.88.15
01041000,4A,9903.88.15
01042000,4A,9903.88.15
01051100,4A,9903.88.15
01051200,4A,9903.88.15
01051300,4A,9903.88.15
01051400,4A,9903.88.15
01051500,4A,9903.88.15
01059400,4A,9903.88.15
01059900,4A,9903.88.15
01061100,4A,9903.88.15
01061201,4A,9903.88.15
01061300,4A,9903.88.15
01061400,4A,9903.88.15
01061930,4A,9903.88.15
01061991,4A,9903.88.15
01062000,4A,9903.88.15
01063100,4A,9903.88.15
01063200,4A,9903.88.15
01063300,4A,9903.88.15
01063901,4A,9903.88.15
01064100,4A,9903.88.15
01064900,4A,9903.88.15
01069001,4A,9903.88.15
02011005,4A,9903.88.15
02011010,4A,9903.88.15
02011050,4A,9903.88.15
02012002,4A,9903.88.15
02012004,4A,9903.88.15
02012006,4A,9903.88.15
02012010,4A,9903.88.15
02012030,4A,9903.88.15
02012050,4A,9903.88.15
02012080,4A,9903.88.15
02013002,4A,9903.88.15
02013004,4A,9903.88.15
02013006,4A,9903.88.15
02013010,4A,9903.88.15
02013030,4A,9903.88.15
02013050,4A,9903.88.15
02013080,4A,9903.88.15
02021005,4A,9903.88.15
02021010,4A,9903.88.15
02021050,4A,9903.88.15
02022002,4A,9903.88.15
02022004,4A,9903.88.15
02022006,4A,9903.88.15
02022010,4A,9903.88.15
02022030,4A,9903.88.15
02022050,4A,9903.88.15
02022080,4A,9903.88.15
02023002,4A,9903.88.15
02023004,4A,9903.88.15
02023006,4A,9903.88.15
02023010,4A,9903.88.15
02023030,4A,9903.88.15
02023050,4A,9903.88.15
02023080,4A,9903.88.15
02031100,4A,9903.88.15
02031210,4A,9903.88.15
02031290,4A,9903.88.15
02031920,4A,9903.88.15
