hts10,cty_code,usmca_share
0101210010,1220,0
0101210010,2010,0
0101210020,1220,0
0101210020,2010,0
0101290010,1220,0
0101290010,2010,0
0101290090,1220,0
0101290090,2010,0
0101300000,1220,0.8054998653
0101300000,2010,0
0101903000,1220,0
0101903000,2010,0
0101904000,1220,0
0101904000,2010,0
0102210010,1220,0
0102210010,2010,0
0102210020,1220,0
0102210020,2010,0
0102210030,1220,0
0102210030,2010,0
0102210050,1220,0
0102210050,2010,0
0102292011,1220,0
0102292011,2010,0
0102292012,1220,0
0102292012,2010,0
0102294024,1220,0.9986966949
0102294024,2010,1
0102294028,1220,1
0102294028,2010,0
0102294034,1220,1
0102294034,2010,0.9997532005
0102294038,1220,1
0102294038,2010,1
0102294054,1220,1
0102294054,2010,0.9991633471
0102294058,1220,1
0102294058,2010,0.9997567619
0102294062,1220,1
0102294062,2010,1
0102294064,1220,1
0102294064,2010,1
0102294066,1220,1
0102294066,2010,1
0102294068,1220,0.9999585152
0102294068,2010,1
0102294072,1220,0.9979339116
0102294072,2010,1
0102294074,1220,0.9945778122
0102294074,2010,0
0102294082,1220,1
0102294082,2010,1
0102294084,1220,1
0102294084,2010,1
0102310010,1220,0
0102310010,2010,0
0102310020,1220,0
0102310020,2010,0
0102390010,1220,1
0102390010,2010,0
0102390024,1220,0
0102390024,2010,0
0102390028,1220,0
0102390028,2010,0
0102390034,1220,0
0102390034,2010,0
0102390038,1220,0
0102390038,2010,0
0102390054,1220,1
0102390054,2010,0
0102390058,1220,1
0102390058,2010,0
0102390061,1220,0
0102390061,2010,0
0102390072,1220,0
0102390072,2010,0
0102390074,1220,0
0102390074,2010,0
0102390082,1220,0
0102390082,2010,0
0102390084,1220,0
0102390084,2010,0
0102900000,1220,0.9433341998
0102900000,2010,0
0103100000,1220,0
0103100000,2010,0
0103910010,1220,0
0103910010,2010,0
0103910020,1220,0
0103910020,2010,0
0103910030,1220,0
0103910030,2010,0
0103920010,1220,0
0103920010,2010,0
0103920020,1220,0
0103920020,2010,0
0103920091,1220,0
0103920091,2010,0
